Ticker,Report Date,Act,Est
A,2019-02-20,0.76,0.731
AAL,2019-01-24,1.04,1.038
AAP,2019-02-19,1.17,1.13
AAPL,2019-01-29,4.18,4.167
ABBV,2019-01-25,1.9,1.934
ABC,2019-01-31,1.6,1.521
ABMD,2019-01-31,0.97,0.946
ABT,2019-01-23,0.81,0.809
ACN,2019-03-28,1.73,1.573
ADBE,2019-03-14,1.294,1.616
ADI,2019-02-20,1.33,1.282
ADM,2019-02-05,0.88,0.92
ADP,2019-01-30,1.34,1.182
ADS,2019-02-07,7.04,6.936
ADSK,2019-02-28,0.46,0.421
AEE,2019-02-14,0.28,0.323
AEP,2019-01-24,0.72,0.701
AES,2019-02-27,0.36,0.325
AFL,2019-01-31,1.02,0.943
AGN,2019-01-29,4.29,4.156
AIG,2019-02-13,-0.63,0.418
AIV,2019-02-04,0.65,0.649
AIZ,2019-02-12,0.77,0.42
AJG,2019-01-31,0.53,0.515
AKAM,2019-02-12,1.07,1.002
ALB,2019-02-20,1.53,1.476
ALGN,2019-01-29,1.2,1.156
ALK,2019-01-24,0.75,0.706
ALL,2019-02-05,1.24,1.099
ALLE,2019-02-19,1.22,1.218
ALXN,2019-02-04,2.14,1.839
AMAT,2019-02-14,0.81,0.788
AMD,2019-01-29,0.08,0.082
AME,2019-02-05,0.86,0.842
AMG,2019-02-04,3.53,3.513
AMGN,2019-01-29,3.42,3.269
AMP,2019-01-30,3.8,3.572
AMT,2019-02-27,2.255,2.283
AMZN,2019-01-31,6.04,5.555
ANET,2019-02-14,2.25,2.064
ANSS,2019-02-27,2.13,1.485
ANTM,2019-01-30,2.44,2.196
AON,2019-02-01,2.16,2.132
AOS,2019-01-29,0.74,0.705
APA,2019-02-27,0.31,0.237
APD,2019-01-25,1.86,1.866
APH,2019-01-23,1.05,0.976
APTV,2019-01-31,1.34,1.205
ARNC,2019-02-08,0.33,0.3
ATO,2019-02-05,1.38,1.327
ATVI,2019-02-12,1.29,1.288
AVB,2019-02-04,2.31,2.32
AVGO,2019-03-14,5.55,5.231
AVY,2019-01-30,1.52,1.497
AWK,2019-02-19,0.69,0.686
AXP,2019-01-17,1.738,1.798
AZO,2019-02-26,11.49,10.062
BA,2019-01-30,5.48,4.592
BAC,2019-01-16,0.708,0.632
BAX,2019-01-31,0.78,0.729
BBT,2019-01-17,1.05,1.045
BBY,2019-02-27,2.72,2.563
BDX,2019-02-05,2.7,2.605
BEN,2019-01-30,0.54,0.659
BF-B,2019-03-06,0.473,0.449
BIIB,2019-01-29,6.99,6.697
BK,2019-01-16,0.99,0.927
BKNG,2019-02-27,22.49,19.388
BKR,2019-01-31,0.26,0.263
BLK,2019-01-16,6.08,6.278
BLL,2019-01-31,0.55,0.556
BMY,2019-01-24,0.94,0.84
BR,2019-02-07,0.56,0.71
BRK-B,2019-02-23,3484.304,2729.25
BSX,2019-02-06,0.39,0.357
BWA,2019-02-14,1.21,1.072
BXP,2019-01-29,1.59,1.683
C,2019-01-14,1.61,1.547
CAG,2019-03-21,0.51,0.488
CAH,2019-02-07,1.29,1.094
CAT,2019-01-28,2.55,2.986
CB,2019-02-05,2.02,1.971
CBOE,2019-02-08,1.54,1.371
CBRE,2019-02-13,1.21,1.125
CCI,2019-01-23,1.362,1.415
CCL,2019-03-26,0.49,0.438
CDNS,2019-02-19,0.52,0.473
CDW,2019-02-07,1.32,1.21
CE,2019-01-28,2.38,2.4
CERN,2019-02-05,0.63,0.633
CF,2019-02-13,0.226,0.424
CFG,2019-01-18,0.98,0.945
CHD,2019-02-05,0.57,0.584
CHRW,2019-01-29,1.34,1.212
CHTR,2019-01-31,1.664,1.483
CI,2019-02-01,2.46,2.487
CINF,2019-02-06,0.98,0.872
CL,2019-01-25,0.74,0.734
CLX,2019-02-04,1.4,1.303
CMA,2019-01-16,1.95,1.881
CMCSA,2019-01-23,0.64,0.624
CME,2019-02-14,1.77,1.733
CMG,2019-02-06,1.72,1.386
CMI,2019-02-06,3.48,3.807
CMS,2019-01-31,0.4,0.404
CNC,2019-02-05,0.69,0.663
CNP,2019-02-28,0.36,0.343
COF,2019-01-22,1.87,2.388
COG,2019-02-22,0.55,0.58
COO,2019-03-05,2.88,2.507
COP,2019-01-31,1.13,0.996
COST,2019-03-07,2.01,1.692
COTY,2019-02-08,0.24,0.221
CPB,2019-02-27,0.77,0.709
CPRI,2019-02-06,1.76,1.578
CPRT,2019-02-20,0.52,0.507
CRM,2019-03-04,0.7,0.553
CSCO,2019-02-13,0.73,0.724
CSX,2019-01-16,1.01,0.994
CTAS,2019-03-21,1.84,1.712
CTL,2019-02-13,0.37,0.319
CTSH,2019-02-06,1.178,1.07
CTXS,2019-01-23,1.67,1.593
CVS,2019-02-20,2.14,2.076
CVX,2019-02-01,2.098,1.868
CXO,2019-02-19,0.94,1.117
D,2019-02-01,0.89,0.904
DAL,2019-01-15,1.3,1.276
DD,2019-01-31,2.64,2.602
DE,2019-02-15,1.54,1.751
DFS,2019-01-24,2.03,2.061
DG,2019-03-14,1.84,1.883
DGX,2019-02-14,1.36,1.401
DHI,2019-01-25,0.76,0.778
DHR,2019-01-29,1.28,1.272
DIS,2019-02-05,1.84,1.542
